a2_1,a2v_1,a2_2,a2v_2
-1.26944,-0.0664161,-1.26946,-0.0664131
-1.27275,-0.0663648,-1.27278,-0.0663616
-1.27607,-0.0662961,-1.27609,-0.0662928
-1.27938,-0.0662113,-1.2794,-0.0662079
-1.28269,-0.0661115,-1.28271,-0.066108
-1.28599,-0.0659978,-1.28601,-0.0659942
-1.28928,-0.0658715,-1.2893,-0.0658678
-1.29257,-0.0657337,-1.29259,-0.0657298
-1.29585,-0.0655855,-1.29587,-0.0655814
-1.29912,-0.065428,-1.29914,-0.0654238
-1.30238,-0.0652625,-1.3024,-0.0652581
-1.30563,-0.06509,-1.30566,-0.0650855
-1.30888,-0.0649117,-1.3089,-0.064907
-1.31212,-0.0647287,-1.31214,-0.0647238
-1.31534,-0.0645422,-1.31536,-0.0645371
-1.31856,-0.0643531,-1.31858,-0.0643478
-1.32177,-0.0641627,-1.32179,-0.0641572
-1.32497,-0.063972,-1.32499,-0.0639662
-1.32816,-0.063782,-1.32818,-0.063776
-1.33134,-0.0635938,-1.33136,-0.0635876
-1.33451,-0.0634085,-1.33453,-0.0634021
-1.33767,-0.063227,-1.33769,-0.0632203
-1.34082,-0.0630504,-1.34084,-0.0630435
-1.34397,-0.0628795,-1.34398,-0.0628724
-1.3471,-0.0627155,-1.34712,-0.0627081
-1.35023,-0.0625591,-1.35025,-0.0625514
-1.35335,-0.0624112,-1.35337,-0.0624033
-1.35646,-0.0622728,-1.35648,-0.0622646
-1.35957,-0.0621447,-1.35959,-0.0621362
-1.36267,-0.0620275,-1.36269,-0.0620188
-1.36577,-0.0619221,-1.36578,-0.0619131
-1.36886,-0.0618292,-1.36887,-0.0618199
-1.37195,-0.0617494,-1.37196,-0.0617399
-1.37503,-0.0616834,-1.37504,-0.0616735
-1.37811,-0.0616316,-1.37813,-0.0616215
-1.38119,-0.0615946,-1.3812,-0.0615842
-1.38427,-0.0615727,-1.38428,-0.061562
-1.38735,-0.0615664,-1.38736,-0.0615554
-1.39043,-0.0615759,-1.39044,-0.0615647
-1.39351,-0.0616014,-1.39352,-0.0615899
-1.39659,-0.0616431,-1.3966,-0.0616313
-1.39968,-0.0617009,-1.39968,-0.0616889
-1.40276,-0.0617748,-1.40277,-0.0617625
-1.40586,-0.0618646,-1.40587,-0.0618521
-1.40896,-0.06197,-1.40896,-0.0619573
-1.41206,-0.0620907,-1.41207,-0.0620778
-1.41517,-0.062226,-1.41518,-0.0622129
-1.41829,-0.0623754,-1.4183,-0.0623621
-1.42142,-0.062538,-1.42142,-0.0625245
-1.42455,-0.062713,-1.42456,-0.0626993
-1.4277,-0.0628991,-1.4277,-0.0628853
-1.43085,-0.0630952,-1.43086,-0.0630812
-1.43402,-0.0632998,-1.43402,-0.0632858
-1.43719,-0.0635114,-1.43719,-0.0634973
-1.44038,-0.0637281,-1.44038,-0.063714
-1.44358,-0.0639481,-1.44358,-0.0639339
-1.44679,-0.0641692,-1.44678,-0.064155
-1.45,-0.064389,-1.45,-0.064375
-1.45324,-0.0646051,-1.45323,-0.0645911
-1.45648,-0.0648148,-1.45647,-0.0648009
-1.45973,-0.065015,-1.45972,-0.0650013
-1.46299,-0.0652028,-1.46298,-0.0651893
-1.46626,-0.0653748,-1.46625,-0.0653616
-1.46953,-0.0655276,-1.46953,-0.0655147
-1.47281,-0.0656574,-1.47281,-0.0656449
-1.4761,-0.0657606,-1.4761,-0.0657484
-1.47939,-0.065833,-1.47939,-0.0658213
-1.48269,-0.0658707,-1.48268,-0.0658595
-1.48598,-0.0658692,-1.48597,-0.0658585
-1.48927,-0.0658243,-1.48926,-0.0658142
-1.49256,-0.0657315,-1.49255,-0.0657221
-1.49584,-0.0655863,-1.49583,-0.0655776
-1.49911,-0.065384,-1.4991,-0.0653761
-1.50236,-0.0651202,-1.50235,-0.065113
-1.5056,-0.0647901,-1.50559,-0.0647839
-1.50882,-0.0643893,-1.50881,-0.064384
-1.51202,-0.0639133,-1.51201,-0.0639089
-1.51519,-0.0633576,-1.51517,-0.0633543
-1.51832,-0.0627179,-1.51831,-0.0627157
